country,year,total_cases,total_deaths
Montserrat,2023,512095,2920
Montserrat,2024,304451,1736
Morocco,2020,30092799,510263
Morocco,2021,242958116,3950052
Morocco,2022,438723883,5854304
Morocco,2023,465324747,5948296
Morocco,2024,277541102,3537896
Mozambique,2020,1556925,11757
Mozambique,2021,36002788,434997
Mozambique,2022,82652666,803299
Mozambique,2023,85153314,819108
Mozambique,2024,50732570,488644
Myanmar,2020,6307654,137983
Myanmar,2021,102197141,3326278
Myanmar,2022,221037775,7089597
Myanmar,2023,232987058,7114806
Myanmar,2024,139343129,4230198
Namibia,2020,1747034,18349
Namibia,2021,31060699,703163
Namibia,2022,59593877,1470706
Namibia,2023,62637792,1494550
Namibia,2024,37409992,891070
Nauru,2020,0,0
Nauru,2021,0,0
Nauru,2022,846398,182
Nauru,2023,1928965,365
Nauru,2024,1170281,217
Nepal,2020,20465536,176343
Nepal,2021,205475497,2740480
Nepal,2022,356406215,4358368
Nepal,2023,365988952,4390055
Nepal,2024,217748650,2610727
Netherlands,2020,49393941,1842107
Netherlands,2021,628998522,6326702
Netherlands,2022,2774769347,8138972
Netherlands,2023,3143078283,8389890
Netherlands,2024,1874025115,4987962
New Caledonia,2020,6749,0
New Caledonia,2021,1108388,23730
New Caledonia,2022,22227140,112329
New Caledonia,2023,29211012,114610
New Caledonia,2024,17383689,68138
New Zealand,2020,370635,5893
New Zealand,2021,1431909,10416
New Zealand,2022,427527735,469484
New Zealand,2023,837812304,1097842
New Zealand,2024,553838333,855179
Nicaragua,2020,759055,27441
Nicaragua,2021,2910926,69454
Nicaragua,2022,5324221,86400
Nicaragua,2023,5785291,89425
Nicaragua,2024,3503045,53165
Niger,2020,319450,23745
Niger,2021,2018625,71265
Niger,2022,3298612,112526
Niger,2023,3472415,114975
Niger,2024,2064954,68355
Nigeria,2020,10903292,207688
Nigeria,2021,63719093,820405
Nigeria,2022,94561749,1146723
Nigeria,2023,97389423,1151575
Nigeria,2024,57979796,684635
Niue,2020,0,0
Niue,2021,0,0
Niue,2022,17962,0
Niue,2023,294993,0
Niue,2024,227609,0
North America,2020,1952655395,69168295
North America,2021,15458120387,338000771
North America,2022,37516525787,527868282
North America,2023,45136843095,585123249
North America,2024,27009525567,360475480
North Korea,2020,0,0
North Korea,2021,0,0
North Korea,2022,0,0
North Korea,2023,0,0
North Korea,2024,0,0
North Macedonia,2020,5631750,207988
North Macedonia,2021,57144108,2116011
North Macedonia,2022,115200682,3497082
North Macedonia,2023,127147756,3625990
North Macedonia,2024,76074207,2164609
Northern Cyprus,2021,0,0
Northern Cyprus,2022,0,0
Northern Ireland,2020,0,0
Northern Ireland,2021,0,0
Northern Ireland,2022,0,0
Northern Ireland,2023,0,0
Northern Mariana Islands,2020,15121,535
Northern Mariana Islands,2021,128069,931
Northern Mariana Islands,2022,4046926,12534
Northern Mariana Islands,2023,5099582,14965
Northern Mariana Islands,2024,3168106,8897
Norway,2020,4307945,70257
Norway,2021,53558438,294627
Norway,2022,484318309,1186113
Norway,2023,542365210,2005996
Norway,2024,327154437,1243844
Oceania,2020,6973459,156953
Oceania,2021,58656094,808427
Oceania,2022,3132066669,5581930
Oceania,2023,5173457438,10366974
Oceania,2024,3226900332,7019518
Oman,2020,18461938,166894
Oman,2021,85947607,1137409
Oman,2022,140309118,1682051
Oman,2023,145797114,1689220
Oman,2024,86680433,1004276
Pakistan,2020,64366052,1331270
Pakistan,2021,343925329,7667921
